,PrivateIndex,Apps,Accept,Enroll,Expend,F_Undergrad,P_Undergrad,Outstate,Room_Board,S_F_Ratio,perc_alumni
0,0.0,7.415175109613295,7.117205503164344,6.582025138892826,8.859647499714997,7.9676267393338165,6.2878585601617845,8.914760527397261,8.101980731853192,2.9496883350525844,2.5649493574615367
1,0.0,7.690286020676768,7.562681246721884,6.240275845170769,9.261793653565098,7.895063498091573,7.113142108707088,9.415808631610384,8.771990436532242,2.580216829592325,2.833213344056216
2,0.0,7.264730177929867,7.001245622069476,5.820082930352362,9.075207697984686,6.9440872082295275,4.605170185988092,9.328212292571072,8.229777750081887,2.631888840136646,3.4339872044851463
3,0.0,6.035481432524756,5.857933154483459,4.927253685157205,9.853088594952276,6.236369590203704,4.1588830833596715,9.469700127423375,8.603554357064281,2.163323025660538,3.6375861597263857
4,0.0,5.267858159063328,4.990432586778736,4.02535169073515,9.298625936843543,5.521460917862246,6.76849321164863,8.93075873555827,8.323851131338817,2.5572273113676265,1.0986122886681098
5,0.0,6.376726947898627,6.173786103901937,5.0689042022202315,9.182763604205949,6.520621127558696,3.7376696182833684,9.510519035757246,8.112527763478637,2.341805806147327,2.4849066497880004
6,0.0,5.869296913133774,5.831882477283517,4.6443908991413725,9.089527751759436,6.0330862217988015,5.442417710521793,9.494842393421333,8.651898894268529,2.5257286443082556,3.295836866004329
7,0.0,7.549609165154532,7.450660796211539,6.194405391104672,9.349058291288005,7.374629015218945,3.4965075614664802,9.537411412656335,8.481980435660493,2.6878474937846906,3.6375861597263857
8,0.0,6.946013991099227,6.733401891837359,5.429345628954441,9.36263218231844,6.881411303642535,5.726847747587197,9.654769750102489,8.38958706681109,2.509599262378372,3.1780538303479458
9,0.0,6.368187186350492,6.212606095751519,5.153291594497779,9.104090572133472,6.684611727667927,4.3694478524670215,9.256173788319355,8.125926802707886,2.5257286443082556,2.772588722239781
10,0.0,7.457609289715606,7.262628600974241,6.159095388491933,9.299541017434485,7.5126175446745105,4.709530201312334,9.714080956018943,8.595449689382004,2.509599262378372,3.4657359027997265
11,0.0,7.88344635413774,7.550135342488429,6.184148890937483,9.368369236201092,7.443078374348516,3.8066624897703196,9.74572201363806,8.398634855292102,2.388762789235098,3.7376696182833684
12,0.0,7.07326971745971,6.660575149839686,5.673323267171493,8.97979449089521,7.030857476116121,6.459904454377535,9.17895289873455,8.47345026846832,2.6602595372658615,3.091042453358316
13,0.0,7.145196134997171,6.985641817639208,5.955837369464831,9.138414632404594,7.175489713624222,3.367295829986474,9.439306936593182,8.423541635334782,2.791165107812717,3.4965075614664802
14,0.0,6.20455776256869,5.749392985908253,5.062595033026967,9.003070169818264,7.183870715062453,7.119635638017636,9.030376034755907,8.200013648175434,2.4932054526026954,3.295836866004329
15,0.0,7.259116128097101,6.9975959829819265,5.3981627015177525,8.903271585724212,6.926577033222725,5.662960480135946,9.071193240566025,8.472405008626103,2.7536607123542622,2.995732273553991
16,0.0,8.3670677328386,6.900730664045173,6.037870919922137,9.97231374346598,7.374001859350161,1.791759469228055,9.891465577308802,8.575650760987806,2.2407096892759584,4.1588830833596715
17,0.0,7.104144092987527,6.812345094177479,6.049733455231958,8.986571625268054,7.506591780070841,5.641907070938114,9.220389707829185,8.166500319155052,2.5726122302071057,2.70805020110221
18,0.0,7.030857476116121,6.558197802812269,5.777652323222656,9.297343415597757,7.369600720526409,5.7899601708972535,9.210040326967182,8.036249942132116,2.5257286443082556,2.9444389791664403
19,1.0,8.172164452111904,7.601901959875166,6.92461239604856,8.296795865770052,8.340694647925071,7.321849713788356,8.543055850941965,8.186742787113518,3.1822118404966093,1.791759469228055
